text,label
Domino's Pizza delivery 3502,Food
Myntra fashion order 4487,Shopping
Netflix subscription 5471,Entertainment
Pizza Hut order 7441,Food
YouTube Premium bill 9260,Entertainment
Jio Fiber payment 7983,Bills
Paid electricity bill 4356,Bills
Dinner from Zomato 8439,Food
Consultation booked on Practo 8095,Medical
Bought medicines from Apollo 2620,Medical
Order placed on Flipkart 2228,Shopping
Bus ticket payment 4313,Travel
Myntra fashion order 141,Shopping
YouTube Premium bill 6757,Entertainment
Order placed on Flipkart 6751,Shopping
Netflix subscription 1633,Entertainment
Airtel broadband bill 7102,Bills
Watched movie on BookMyShow 7984,Entertainment
Fortis Hospital checkup 4037,Medical
Croma online shopping 9681,Shopping
Train booking IRCTC 3678,Travel
PVR Cinemas ticket 4505,Entertainment
Flight ticket Indigo 5902,Travel
Consultation booked on Practo 1467,Medical
Bus ticket payment 3645,Travel
BSNL recharge 1937,Bills
Pharmacy bill 3037,Medical
Rapido bike ride 7725,Travel
Airtel broadband bill 6320,Bills
BSNL recharge 3105,Bills
Netflix subscription 1084,Entertainment
Doctor appointment 581,Medical
Gas bill payment 5041,Bills
Pizza Hut order 4512,Food
Ordered food from Swiggy 5860,Food
Order placed on Flipkart 7430,Shopping
McDonald's burger meal 1236,Food
Dinner from Zomato 7018,Food
Croma online shopping 5684,Shopping
Dinner from Zomato 8715,Food
Order placed on Flipkart 3501,Shopping
Reliance Digital purchase 1837,Shopping
TataCliq product order 7030,Shopping
Netflix subscription 4695,Entertainment
Bus ticket payment 2245,Travel
Jio Fiber payment 1416,Bills
MedPlus order 9697,Medical
Doctor appointment 6223,Medical
Hotstar monthly plan 1818,Entertainment
Jio Fiber payment 7913,Bills
Croma online shopping 8802,Shopping
Bought medicines from Apollo 2046,Medical
Hotstar monthly plan 9741,Entertainment
Bought medicines from Apollo 9595,Medical
Cab ride with Uber 4185,Travel
TataCliq product order 5543,Shopping
Water bill 4666,Bills
PVR Cinemas ticket 5119,Entertainment
Order placed on Flipkart 4293,Shopping
Watched movie on BookMyShow 7705,Entertainment
Watched movie on BookMyShow 5016,Entertainment
Train booking IRCTC 1544,Travel
PVR Cinemas ticket 3046,Entertainment
YouTube Premium bill 7813,Entertainment
BSNL recharge 2994,Bills
PVR Cinemas ticket 3541,Entertainment
Bought item from Amazon 5372,Shopping
Pizza Hut order 1874,Food
Water bill 9578,Bills
Ordered food from Swiggy 133,Food
Flight ticket Indigo 608,Travel
YouTube Premium bill 5908,Entertainment
Bought item from Amazon 3527,Shopping
Domino's Pizza delivery 6394,Food
Flight ticket Indigo 295,Travel
Water bill 8478,Bills
Ordered food from Swiggy 3451,Food
Jio Fiber payment 2010,Bills
Reliance Digital purchase 5122,Shopping
Reliance Digital purchase 4688,Shopping
Cab ride with Uber 8203,Travel
McDonald's burger meal 6235,Food
TataCliq product order 9144,Shopping
Reliance Digital purchase 3444,Shopping
Ola cab payment 7326,Travel
Dinner from Zomato 5504,Food
Hotstar monthly plan 9597,Entertainment
Order placed on Flipkart 2967,Shopping
Consultation booked on Practo 1443,Medical
Consultation booked on Practo 4607,Medical
McDonald's burger meal 9393,Food
Order placed on Flipkart 5155,Shopping
Reliance Digital purchase 3108,Shopping
YouTube Premium bill 8797,Entertainment
Domino's Pizza delivery 251,Food
Flight ticket Indigo 7857,Travel
BSNL recharge 7888,Bills
MedPlus order 2369,Medical
Airtel broadband bill 6817,Bills
Dinner from Zomato 9762,Food
Ola cab payment 4781,Travel
PVR Cinemas ticket 4675,Entertainment
Flight ticket Indigo 7172,Travel
Myntra fashion order 151,Shopping
MedPlus order 6578,Medical
BSNL recharge 1744,Bills
Dinner from Zomato 1041,Food
Consultation booked on Practo 2344,Medical
Order placed on Flipkart 9447,Shopping
Hotstar monthly plan 146,Entertainment
Gas bill payment 7370,Bills
Order placed on Flipkart 4499,Shopping
Cab ride with Uber 7297,Travel
Flight ticket Indigo 6519,Travel
Reliance Digital purchase 8015,Shopping
Domino's Pizza delivery 4278,Food
Train booking IRCTC 5516,Travel
Doctor appointment 367,Medical
Dinner from Zomato 9951,Food
Rapido bike ride 5649,Travel
Reliance Digital purchase 5955,Shopping
McDonald's burger meal 1114,Food
Airtel broadband bill 1475,Bills
Domino's Pizza delivery 7745,Food
Domino's Pizza delivery 2576,Food
MedPlus order 7624,Medical
Pizza Hut order 9499,Food
Bus ticket payment 5973,Travel
Netflix subscription 3850,Entertainment
Pizza Hut order 5500,Food
Flight ticket Indigo 4175,Travel
Dinner from Zomato 9512,Food
Croma online shopping 2389,Shopping
Dinner from Zomato 8176,Food
Hotstar monthly plan 1957,Entertainment
Bus ticket payment 1392,Travel
Spotify Premium payment 8106,Entertainment
Hotstar monthly plan 1908,Entertainment
Netflix subscription 4902,Entertainment
Flight ticket Indigo 6678,Travel
Spotify Premium payment 7560,Entertainment
Ola cab payment 4556,Travel
Order placed on Flipkart 6463,Shopping
Cab ride with Uber 4608,Travel
Bought medicines from Apollo 3768,Medical
Spotify Premium payment 7081,Entertainment
MedPlus order 2328,Medical
Bought item from Amazon 1704,Shopping
Ordered food from Swiggy 5130,Food
Reliance Digital purchase 1345,Shopping
Croma online shopping 6468,Shopping
Flight ticket Indigo 6050,Travel
Pharmacy bill 4463,Medical
PVR Cinemas ticket 7303,Entertainment
Airtel broadband bill 8148,Bills
Water bill 8957,Bills
Bus ticket payment 2946,Travel
Dinner from Zomato 6096,Food
Ola cab payment 6717,Travel
YouTube Premium bill 9353,Entertainment
Croma online shopping 130,Shopping
PVR Cinemas ticket 6290,Entertainment
Dinner from Zomato 2042,Food
Bus ticket payment 4142,Travel
Water bill 9529,Bills
YouTube Premium bill 413,Entertainment
Bus ticket payment 5158,Travel
Jio Fiber payment 1248,Bills
Domino's Pizza delivery 3959,Food
Reliance Digital purchase 9469,Shopping
YouTube Premium bill 7662,Entertainment
Airtel broadband bill 6195,Bills
Lunch at KFC 4534,Food
